"ID","Nombre completo","Fecha de nacimiento","Dirección","Localidad y Código postal","Teléfono","Correo electrónico","Fecha de alta","Grupo de clientes"
"C0177","Rómulo Ortega-Giner","1/3/1980","948 Railroad Avenue","Unit 2","(409) 889-4836","szymansk@gmail.com","9/30/2017 22:55","E"
"C0178","Gastón Leon Solana","4/1/1971","San Diego, CA 92114","7069 Andover St.","(359) 210-8594","jemarch@yahoo.ca","10/24/2014 13:11","E"
"C0179","Emilia Jove-Ropero","10/11/1986","Pico Rivera, CA 90660","81 Morris Drive","(474) 494-9364","rhialto@msn.com","7/12/2016 17:23","E"
"C0180","Calixto Pinedo Torrijos","7/5/1993","Los Angeles, CA 90001","8785 Marconi Road","(681) 820-0747","flakeg@comcast.net","11/1/2010 3:05","E"
"C0181","Ciro Ledesma Bru","3/13/1982","Modesto, CA 95350","632 Manor Ave.","(921) 657-7404","rnewman@optonline.net","9/15/2005 1:34","C"
"C0182","Dora del Segarra","6/16/1977","Simi Valley, CA 93065","51 College Street","(451) 889-2527","jshearer@yahoo.ca","10/9/2011 20:08","D"
"C0183","Juan Bautista de Salazar","1/30/1977","Los Angeles, CA 90004","198 Ramblewood Drive","(487) 654-5535","tubesteak@msn.com","7/27/2005 21:44","C"
"C0184","Narciso del Anaya","10/20/1998","Folsom, CA 95630","13 E. Walnut St.","(243) 692-9341","jsnover@gmail.com","7/15/2010 20:24","D"
"C0185","Martirio Reina Malo Alonso","12/25/1993","Tulare, CA 93274","7792 Anderson Lane","(726) 607-0923","chrwin@live.com","8/18/2007 20:02","D"
"C0186","Maximiliano Maestre Mendizábal","7/28/1987","San Francisco, CA 94109","7728 Mayfield Drive","(861) 258-0892","jadavis@msn.com","7/22/2016 10:54","D"
"C0187","Noa Dominguez-Llorente","9/5/1977","Tracy, CA 95376","8704 Thatcher St.","(514) 904-4726","stevelim@gmail.com","9/12/2005 18:11","E"
"C0188","Miguel Mur Cruz","10/13/1988","Los Angeles, CA 90066","9160 Mammoth Ave.","(829) 721-4200","zavadsky@verizon.net","8/21/2013 16:20","E"
"C0189","Gala Gimenez-Lasa","8/30/1977","Riverside, CA 92509","8652 Arlington Drive","(983) 385-7043","mobileip@comcast.net","11/30/2006 5:36","D"
"C0190","Saturnino Palacios Lamas","6/1/1970","Los Angeles, CA 90026","9048 Birchwood Avenue","(223) 360-1632","lauronen@icloud.com","2/13/2013 8:30","C"
"C0191","Ariel Castellanos Bauzà","11/22/1975","Fairfield, CA 94533","35 Charles St.","(412) 836-0738","matty@att.net","1/20/2019 18:07","D"
"C0192","Trinidad Salas Gimenez","5/3/1975","Sylmar, CA 91342","634 Theatre Street","(238) 664-3657","simone@mac.com","7/21/2014 9:07","E"
"C0193","Adalberto del Seco","10/29/1996","Daly City, CA 94015","436 Ketch Harbour Street","(759) 680-2696","claesjac@verizon.net","5/2/2007 17:49","D"
"C0194","Eustaquio Palacios Francisco","9/25/1989","Van Nuys, CA 91405","19 Strawberry Street","(395) 780-5461","goldberg@yahoo.com","4/8/2007 11:24","D"
"C0195","Susana Castro Ruiz","10/8/1993","Victorville, CA 92392","48 Fairfield Lane","(372) 818-3567","lahvak@aol.com","2/3/2006 17:58","A"
"C0196","Emelina Melisa Palau Seco","5/1/1998","San Pedro, CA 90731","9814 Primrose Street","(935) 960-4873","jipsen@sbcglobal.net","4/26/2005 22:15","D"
"C0197","Sandalio Baeza Grande","10/22/1995","San Diego, CA 92115","8053 Jennings St.","(971) 288-1186","elmer@mac.com","6/23/2016 3:50","E"
"C0198","Gregorio Guerrero Palomino","2/16/1984","Rancho Cucamonga, CA 91730","82 Bear Hill Ave.","(994) 447-4889","sisyphus@icloud.com","3/4/2016 12:16","E"
"C0199","Socorro de Higueras","9/2/1976","Union City, CA 94587","9428 3rd Ave.","(232) 476-5035","stefano@verizon.net","5/20/2007 18:26","C"
"C0200","Otilia Viana Torres","8/20/1998","Montebello, CA 90640","83 Front Ave.","(288) 574-6749","muzzy@aol.com","5/26/2016 4:15","A"
"C0201","Luís Guzman Alsina","3/23/1972","San Francisco, CA 94122","71 Wakehurst Drive","(969) 763-9226","bmidd@att.net","7/24/2014 18:33","A"
"C0202","Julie Rosa Lumbreras","1/7/1972","Costa Mesa, CA 92627","715 Redwood Dr.","(732) 708-8561","dhrakar@outlook.com","12/5/2011 18:25","A"
"C0203","Samu Paulino Fabra Galvez","10/30/1970","Long Beach, CA 90813","316 Ohio St.","(314) 254-1244","openldap@mac.com","7/24/2013 3:15","A"
"C0204","Vicente Egea Sanchez","3/10/1994","Anaheim, CA 92801","9185 Mechanic St.","(460) 682-5923","dmath@live.com","8/29/2019 14:10","A"
"C0205","Juan Carlos del Cordero","2/16/1970","Alameda, CA 94501","7371 Wrangler Street","(200) 565-5639","dobey@msn.com","1/22/2018 7:54","D"
"C0206","Carla Blanes España","12/10/1972","Oakland, CA 94601","72 St Paul Ave.","(357) 769-3070","rbarreira@icloud.com","5/21/2019 12:23","D"
"C0207","Toribio Herranz Jurado","12/24/1989","Long Beach, CA 90805","67 William Drive","(587) 626-3175","gilmoure@live.com","6/21/2019 21:36","E"
"C0208","América Rosell Ferrándiz","1/28/1989","Merced, CA 95340","7732 Cobblestone Lane","(465) 293-1802","grady@verizon.net","3/25/2012 4:41","A"
"C0209","Inés Calderon Suarez","10/13/1997","Huntington Park, CA 90255","78 Summer Street","(709) 815-7677","sekiya@gmail.com","3/5/2006 3:03","E"
"C0210","Trinidad Leiva Ribera","8/4/1972","San Jose, CA 95111","9268 NE. Lookout Drive","(605) 810-1781","dogdude@yahoo.com","6/30/2007 3:25","C"
"C0211","Luisa Saldaña Piñeiro","4/5/1998","Santa Ana, CA 92704","9551 Talbot Ave.","(256) 681-2246","sfoskett@att.net","7/18/2017 14:49","D"
"C0212","Yago Diez Meléndez","11/6/1979","Spring Valley, CA 91977","82 Edgewood Ave.","(304) 471-5232","hampton@icloud.com","8/26/2007 21:36","C"
"C0213","Alberto Rius Rius","3/10/1982","Salinas, CA 93905","63 East Penn St.","(411) 283-4519","singer@mac.com","8/14/2016 5:09","B"
"C0214","Beatriz Jimenez Antón","1/30/1982","La Habra, CA 90631","1 Spruce Street","(442) 496-8157","pereinar@mac.com","1/12/2020 12:53","A"
"C0215","Adolfo Gaya Canales","5/31/1980","Fontana, CA 92336","78 Devon St.","(205) 909-7964","jfreedma@comcast.net","5/14/2006 12:47","A"
"C0216","Teófilo de Nuñez","3/29/1995","Georgetown, ON L7G 9Y7","425 Cherry Hill Court","(730) 534-7609","hampton@outlook.com","8/2/2010 22:02","B"
"C0217","Bruno Cabezas Cordero","9/13/1975","Donnacona, QC G3M 1C3","900 Charles Lane","(770) 286-4391","attwood@yahoo.com","4/28/2013 20:59","B"
"C0218","Pepe Juanito Adán Anaya","2/4/1981","Manotick, ON K4M 6S8","316 East Oak Meadow Court","(732) 906-0070","howler@mac.com","11/29/2019 13:47","B"
"C0219","Isabela Solé Nuñez","1/21/1980","Essex, ON N0R 2G6","407 Lafayette Court","(943) 428-2313","quantaman@icloud.com","12/6/2017 16:50","D"
"C0220","Amaya Izquierdo Gonzalo","5/24/1993","Lockport, MB R1B 5H9","17 Euclid Rd.","(785) 951-2152","tellis@gmail.com","5/1/2005 5:49","A"
"C0221","Gervasio del Galán","8/16/1985","Bonnyville, AB T9N 2P9","821 Surrey St.","(406) 847-9870","jguyer@verizon.net","8/20/2006 3:16","E"
"C0222","Isaac Pujol-Yáñez","2/25/1998","Petit-Rocher, NB E8J 4K5","714 Depot St.","(965) 911-5076","adhere@icloud.com","10/15/2006 15:25","E"
"C0223","Valerio Valentín Céspedes","5/5/1989","Farnham, QC J2N 4J1","82 Clark Ave.","(599) 327-2008","jaarnial@verizon.net","8/1/2012 14:06","D"
"C0224","Cleto Benito Mendizábal","10/11/1995","Winnipeg, MB R2C 4A3","9949 Dogwood Ave.","(656) 470-6146","plover@live.com","12/6/2018 7:05","B"
"C0225","Erasmo Cabeza Martinez","5/9/1999","Saint-Raymond, QC G3L 7P7","9 Kingston Lane","(327) 329-5055","wortmanj@verizon.net","1/4/2014 12:18","C"
"C0226","Quirino Rosario Vázquez Carvajal","1/17/2000","St. George, NB E5C 6A9","652 Old Tower Lane","(208) 903-9126","violinhi@aol.com","12/16/2012 6:23","A"
"C0227","Marcos Alcántara Codina","11/28/1992","Port Moody, BC V3H 3N3","1 Trusel Lane","(440) 419-1193","uncle@sbcglobal.net","4/3/2010 6:20","C"
"C0228","Paloma Abascal Lledó","5/14/1998","Delhi, ON N4B 2V1","81 Canterbury Street","(357) 843-1297","krueger@icloud.com","7/23/2007 22:05","B"
"C0229","Ana Sofía Nadal-Campo","4/23/1990","Oromocto, NB E2V 6A5","1 Westminster Street","(726) 820-4884","daveewart@optonline.net","9/2/2015 22:24","B"
"C0230","Estela Cases Peral","11/6/1982","Belledune, NB E8G 4R8","83 Beaver Ridge Ave.","(741) 507-6188","firstpr@aol.com","5/16/2017 22:29","E"
"C0231","Borja Díez-Zorrilla","1/28/1971","Bouctouche, NB E4S 8M3","170 Devonshire St.","(847) 529-3256","trieuvan@sbcglobal.net","9/20/2008 11:15","E"
"C0232","Eva María de Bertrán","10/20/1992","Caledon, ON L7C 9T6","7489 Central Drive","(622) 751-8803","tbusch@gmail.com","7/28/2006 17:38","A"
"C0233","Elena del Tomé","3/11/1984","Buena Vista, SK S2V 1L1","72 Wild Rose Circle","(681) 720-0173","yfreund@me.com","7/31/2013 2:29","C"
"C0234","Iván de Manzanares","4/13/1978","Digby Neck, NS B0V 8H6","9562 South Forest Drive","(947) 794-9523","jfmulder@mac.com","6/27/2017 10:08","B"
"C0235","Adelina Roma Feijoo","2/21/1989","Outaouais-Sud, QC J0X 9K0","94 Tallwood Avenue","(697) 343-2772","parrt@mac.com","8/25/2014 20:15","D"
"C0236","Joel Estévez","11/7/1998","Wetaskiwin, AB T9A 7X8","381 Clay Rd.","(864) 686-9890","wiseb@aol.com","11/9/2012 13:29","C"
"C0237","Úrsula Anabel Expósito Vazquez","4/3/1999","Steinbach, MB R5G 1B0","22 Fieldstone Dr.","(259) 588-3616","barnett@outlook.com","8/30/2013 13:21","B"
"C0238","Manuelita Gilabert Manjón","3/19/1988","La Sarre, QC J9Z 2V9","988 Bohemia Dr.","(711) 535-5569","barlow@yahoo.com","2/13/2008 12:32","A"
"C0239","Amparo Galván Polo","5/17/1982","Apohaqui, NB E5P 9G5","7582 Lyme Ave.","(390) 414-6347","telbij@hotmail.com","10/22/2010 10:32","E"
"C0240","Amparo del Ayuso","11/12/1994","Lloydminster, SK S9V 5V1","226 Taylor Rd.","(622) 524-5931","dalamb@msn.com","9/17/2016 7:33","B"
"C0241","Angélica del Ortuño","3/11/1995","Highlands, BC V9B 9L3","62 E. Foxrun Drive","(832) 663-7857","psichel@live.com","9/11/2005 18:48","A"
"C0242","Amalia Itziar Sebastián Revilla","7/20/1980","Saint-Hippolyte, QC J8A 8X2","18 Theatre Rd.","(774) 962-9792","cameron@mac.com","11/1/2005 17:05","D"
"C0243","América Morán Peñalver","4/28/1984","Chestermere, AB T1X 8K6","562 Hilldale Lane","(456) 478-8124","klaudon@icloud.com","10/18/2013 14:09","A"
"C0244","Elisa de Chaparro","8/15/1976","Leduc, AB T9E 6E1","235 Bowman Street","(689) 369-1765","gavinls@msn.com","11/29/2008 14:02","E"
"C0245","Nieves Lladó","11/11/1985","Vancouver, BC V5K 7G2","2 Beechwood Street","(462) 469-0733","arathi@comcast.net","3/11/2008 14:03","E"
"C0246","Juan Antonio Benet","12/6/1988","Esquimalt, BC V9A 7T3","877 Coffee Ave.","(296) 380-9560","parkes@icloud.com","6/9/2018 7:12","D"
"C0247","Gustavo Barberá Frías","6/18/1991","Coldbrook, NS B4R 8S2","759 Mayfair Court","(770) 446-1820","cyrus@aol.com","7/16/2019 15:07","B"
"C0248","Eliana Pacheco Ponce","4/8/1973","Windsor, ON N8P 8C9","8921 West Oak Meadow Road","(752) 764-6341","isotopian@hotmail.com","8/11/2019 21:42","B"
"C0249","Dalila Pino Verdú","9/21/1992","Kanata, ON K2K 4A8","24 Edgemont St.","(420) 583-7227","marnanel@icloud.com","7/5/2013 14:53","D"
"C0250","Marciano Díaz","4/16/1985","McAdam, NB E6J 7T4","524 Dunbar Drive","(844) 867-2783","nwiger@verizon.net","1/4/2016 11:01","B"
"C0251","Timoteo Pinilla Calderón","6/5/1975","Hanover, ON N4N 0G1","4 Maple Street","(844) 548-7367","elmer@comcast.net","12/17/2019 14:14","A"
"C0252","Malena Roma Barrena","8/15/1977","Ottawa, ON K1G 0J7","7963 Third St.","(653) 247-2528","natepuri@gmail.com","8/4/2013 17:44","A"
"C0253","Silvia León Duque","4/12/1991","Mississauga, ON L4T 3V7","617 Liberty Dr.","(323) 918-8630","tmaek@gmail.com","11/21/2009 11:42","A"
"C0254","Ema del Garrido","1/24/1986","Wallaceburg, ON N8A 3M8","72 Circle St.","(951) 814-0240","manuals@yahoo.ca","7/20/2007 21:26","E"
"C0255","Eva González Cano","11/12/1972","Windsor, LB A2B 0T8","616 Lyme Ave.","(286) 747-9510","neonatus@live.com","5/29/2015 15:32","C"
"C0256","Eutropio Sedano Cabanillas","10/3/1987","Cowansville, QC J2K 8Y0","901 Fairway Street","(780) 915-5789","crusader@verizon.net","9/20/2007 11:05","E"
"C0257","Dafne Cerdán Pujol","9/24/1988","Duvernay-Est, QC H7A 4A9","80 Gulf Drive","(611) 316-6464","dogdude@mac.com","2/22/2012 16:28","D"
"C0258","Óscar de Mascaró","9/26/1989","Pitt Meadows, BC V3Y 0T2","9599 East Water Ave.","(347) 423-7150","mastinfo@outlook.com","11/1/2010 23:00","B"
"C0259","Catalina Peralta Patiño","6/26/1970","Amqui, QC G5J 8E3","8850 Pulaski Dr.","(690) 391-9308","munge@verizon.net","3/26/2020 23:04","A"
"C0260","Bárbara Elorza Jordá","11/28/1989","Enfield, NS B2T 5S6","703 Bay Ave.","(300) 748-5245","milton@att.net","12/31/2015 8:41","D"
"C0261","Loreto Burgos","5/20/1980","St. Martins, NB E5R 1J6","31 Temple Ave.","(399) 450-6042","redingtn@hotmail.com","7/18/2006 1:24","C"
"C0262","Estela Marquez Arce","12/18/1972","Stouffville, ON L4A 6L1","7058 Country Club Ave.","(941) 250-4612","fviegas@sbcglobal.net","7/26/2008 3:39","C"
"C0263","Paloma Segarra Menéndez","3/9/1978","Kings County, NS B0P 9R3","91 Pineknoll Ave.","(979) 636-7422","rgarcia@live.com","8/18/2008 22:03","A"
"C0264","Claudio Maximino Cobos Córdoba","1/5/1998","Fort Saskatchewan, AB T8L 4M9","871 Gainsway Drive","(838) 478-1283","ovprit@msn.com","4/7/2017 21:43","E"
"C0265","Josefina Rey Meléndez","1/12/1973","Laurentides-Sud, QC J0V 3M7","9536 Nut Swamp Dr.","(709) 730-9311","teverett@att.net","4/14/2013 3:08","A"
"C0266","Nilda de Garrido","12/29/1982","Black Lake, QC G6H 5M3","53 Old Belmont St.","(773) 468-1836","ghost@yahoo.ca","9/18/2006 20:12","A"
"C0267","Gregorio Llabrés-Rebollo","3/30/1983","Charny, QC G6X 9G6","9451 Stonybrook Court","(629) 776-7927","intlprog@verizon.net","7/27/2005 5:33","D"
"C0268","Edmundo de Marco","9/28/1993","Okotoks, AB T1S 0P8","5 Rockland Court","(374) 637-9848","frosal@msn.com","7/11/2018 8:25","E"
"C0269","Amaya Ruiz Campoy","1/30/1985","Boiestown, NB E6A 0J5","209 North Primrose Street","(614) 742-3346","sabren@comcast.net","10/22/2007 23:22","E"
"C0270","Nacio Perera Lerma","8/17/1995","Port Alberni, BC V9Y 6C7","14 Military Street","(591) 540-1501","hermes@outlook.com","9/13/2009 11:54","A"
"C0271","Damián Vicens Cabrera","11/3/1995","Cochrane, AB T4C 6R2","9282 Border Street","(674) 692-6307","shrapnull@live.com","3/1/2021 4:22","E"
"C0272","Marcela Teófila Arnal Lasa","4/22/1999","Hampton, NB E5N 2B1","258 Bohemia St.","(613) 385-7225","jimmichie@optonline.net","4/26/2006 14:15","C"
"C0273","Reina Losada Alfonso","2/19/1981","Grand Manan Island, NB E5G 6V4","740 Jones St.","(911) 247-1909","bjornk@aol.com","10/15/2014 14:27","C"
"C0274","Isa Arenas Mariscal","4/27/1972","Petawawa, ON K8H 6P6","592 Linden Ave.","(428) 712-4844","ghost@sbcglobal.net","10/18/2015 5:36","E"
"C0275","Morena Roura","9/1/1998","Cap-Rouge, QC G1Y 7T2","67 Sheffield Ave.","(911) 550-2155","curly@icloud.com","1/28/2009 11:47","D"
"C0276","Odalys Benítez","10/16/1996","Prince Rupert, BC V8J 9N3","19 Tallwood St.","(593) 925-4662","jacks@outlook.com","4/29/2021 0:04","C"
"C0277","Emma del Amor","10/8/1980","Acton, ON L7J 3T8","389 Ridge Street","(538) 584-5847","mbswan@optonline.net","4/26/2015 6:50","B"
"C0278","Seve Villanueva Anaya","2/6/1975","Lac-Megantic, QC G6B 4L9","329 Carpenter Court","(336) 788-8866","jelmer@gmail.com","4/30/2014 18:51","B"
"C0279","Montserrat Armas Salamanca","3/11/1994","Innisfail, AB T4G 7N5","60 St Margarets Street","(878) 213-7548","podmaster@yahoo.com","9/30/2013 11:32","E"
"C0280","Ildefonso Feliu Esteban","6/14/1997","Le Fjord, QC G0T 3E3","968 E. Aspen Lane","(544) 332-6097","malin@verizon.net","7/28/2019 5:36","B"
"C0281","Ligia Ocaña Arregui","12/2/1987","Grande-Anse, NB E8N 7C1","12 Winding Way St.","(992) 343-2800","dsugal@hotmail.com","2/28/2019 5:58","B"
"C0282","Sarita Neira Toro","4/6/1981","Kimberley, BC V1A 5S2","859 Greenview Dr.","(272) 202-0144","ninenine@icloud.com","6/14/2016 10:36","D"
"C0283","Timoteo Pacheco Pozo","4/20/1970","St. Albert, AB T8N 8R8","9286 E. Bayberry Street","(738) 345-5103","damian@icloud.com","12/8/2011 19:58","A"
"C0284","Ester Anabel Fabregat Nuñez","6/11/1991","Bass River, NB E4T 4R0","128 Richardson St.","(713) 922-0553","phish@hotmail.com","9/17/2017 6:49","A"
"C0285","Rosenda Villanueva Herrera","8/9/1987","Parksville, BC V9P 5L2","118 Pineknoll Drive","(682) 502-1976","rnelson@gmail.com","4/20/2014 17:12","D"
"C0286","Ariel Gallego Diego","8/16/1981","La Plaine, QC J7M 5N3","28 Pennsylvania Street","(260) 372-4164","slaff@aol.com","2/18/2013 6:45","E"
"C0287","Juliana Alarcón Molins","6/23/1983","Leamington, ON N8H 0N3","334 Mechanic Lane","(502) 779-9801","ninenine@live.com","6/12/2005 2:24","D"
"C0288","Catalina Méndez","1/7/1995","Strathmore, AB T1P 9V5","798 Clark Rd.","(687) 734-3575","johnh@yahoo.ca","12/30/2018 3:35","E"
"C0289","Susanita Pascual Salamanca","12/10/1972","Youngs Cove, NB E4C 4K5","735 Spruce Ave.","(503) 471-0311","ryanshaw@comcast.net","11/1/2017 17:34","D"
"C0290","Dimas Rafael Polo Bravo","8/5/1970","Chatham, QC J8G 7X7","603 Elm Lane","(640) 467-1066","gerlo@yahoo.ca","6/23/2013 16:50","B"
"C0291","Anabel Pou Lasa","9/29/1972","Eskasoni, NS B1W 1S9","72 Paris Hill Ave.","(350) 900-0774","noneme@me.com","11/28/2006 8:08","A"
"C0292","Nadia Natividad Marco Flores","5/14/1985","Parry Sound, ON P2A 5R6","94 Valley View Rd.","(593) 907-1562","squirrel@comcast.net","6/16/2017 22:30","C"
"C0293","Máximo Téllez Ferrera","10/7/1997","Lanaudière-Nord, QC J0K 8T8","8 E. Miles Dr.","(848) 559-5729","sakusha@yahoo.com","3/7/2019 6:37","E"
"C0294","Gala Clarisa Ballesteros Llopis","12/31/1986","Saint-Colomban, QC J5K 6C2","672 Albany St.","(986) 369-4687","seano@sbcglobal.net","8/9/2011 18:33","D"
"C0295","Amancio Aliaga Sierra","2/25/1991","Huntsville, ON P1H 2C9","22 Jackson Rd.","(815) 645-0166","bmidd@msn.com","12/12/2009 17:54","B"
"C0296","César Nogués Tomás","7/13/1973","Lachute, QC J8H 9V1","22 Ridge Lane","(456) 670-3912","oracle@verizon.net","5/18/2012 5:23","D"
"C0297","Brígida Jove Carretero","4/7/1998","St. Stephen, NB E3L 2A8","8557 West Greenview Dr.","(997) 481-7573","jrifkin@yahoo.com","12/14/2020 0:58","D"
"C0298","Vito del Abad","9/1/1980","Îles-Laval, QC H7Y 1X2","8824 Liberty Drive","(571) 271-7420","sherzodr@att.net","8/5/2017 15:14","E"
"C0299","Nayara Fanny Juliá Sierra","2/22/1998","Grand Falls, LB A2A 2C6","368 Fifth Dr.","(674) 672-8423","rsmartin@msn.com","1/26/2007 17:06","B"
"C0300","Isidoro Salas Marqués","10/4/1980","Ville Émard, QC H4E 1K4","61 San Carlos Rd.","(505) 554-8992","jsbach@aol.com","9/8/2006 23:38","D"
"C0301","Vicente Palomino Adadia","12/29/1979","Napanee, ON K7R 6V1","37 Peninsula Street","(826) 231-0876","wmszeliga@mac.com","8/2/2006 21:03","A"
"C0302","Sandalio de Figueroa","6/23/1978","Woodstock, NB E7M 8P6","149 Jennings Road","(499) 874-0371","william@hotmail.com","4/7/2016 20:46","E"
"C0303","Elodia Pinto","12/9/1999","Dorchester, NB E4K 6V5","59 W. Anderson Lane","(317) 232-9358","gastown@comcast.net","9/18/2011 2:38","B"
"C0304","Felipe Carro Ramis","5/20/1992","Greely, ON K4P 4T2","685 High Noon Lane","(852) 388-3751","improv@live.com","4/20/2020 23:18","C"
"C0305","Ana Belén Alvarado Bueno","3/13/1970","Boucherville, QC J4B 9T3","42 Johnson Dr.","(366) 604-3609","gfxguy@outlook.com","8/11/2009 22:42","D"
"C0306","Marisela Sanmiguel Pedraza","3/12/1995","Lacombe, AB T4L 0S1","7976 North Street","(800) 687-3027","marcs@outlook.com","10/11/2017 9:13","D"
"C0307","Jesusa Benavente Ferrández","7/31/1997","Labrador City, LB A2V 8L0","394 Hanover St.","(924) 920-0218","skippy@yahoo.ca","11/2/2010 9:40","D"
"C0308","Alonso Díaz Donoso","4/14/1996","Grimsby, ON L3M 5X9","9697 South Mountainview Street","(733) 648-0855","jyoliver@sbcglobal.net","5/12/2019 3:15","C"
"C0309","Filomena Pombo Pla","3/21/1978","Cobourg, ON K9A 5G0","60 Carpenter Street","(496) 879-5338","afifi@hotmail.com","12/30/2013 17:51","A"
"C0310","Cristóbal Cabello-Pol","5/7/1993","Chelsea, QC J9B 5K1","343 Oxford St.","(363) 981-6810","muadip@gmail.com","9/6/2018 2:00","B"
"C0311","Maribel Murillo Alcaraz","9/18/1977","Qualicum Beach, BC V9K 4J5","490 Lantern Street","(643) 252-3203","hyper@icloud.com","6/27/2010 16:57","B"
"C0312","Mayte Cuesta Acosta","1/5/1977","Dunnville, ON N1A 2R5","8158 S. Marvon Ave.","(491) 779-1547","spadkins@att.net","9/19/2011 1:21","B"
"C0313","Remigio Villalonga Roman","10/29/1990","Vimont, QC H7M 0J1","7651 Carriage Dr.","(731) 808-7183","oneiros@icloud.com","8/19/2019 15:41","B"
"C0314","Vanesa Villaverde","7/5/1986","Port Perry, ON L9L 6K8","7313 Eagle Ave.","(879) 310-9113","miltchev@gmail.com","6/12/2007 0:41","B"
"C0315","Maristela Corbacho Alegria","11/29/1974","Saint Petersburg, FL 33710","127 Rockwell Lane","(944) 942-5965","uqmcolyv@att.net","4/21/2005 4:44","C"
"C0316","Manuelita Cervera Botella","5/27/1989","Miami, FL 33135","107 Cedar Street","(257) 383-2777","william@comcast.net","6/12/2014 13:37","E"
"C0317","Borja Canet Gallo","7/16/1999","New Port Richey, FL 34653","20 Ivy St.","(286) 539-1526","lipeng@comcast.net","7/20/2017 0:57","E"
"C0318","Clotilde Chita Fábregas Toro","6/19/1986","Fort Lauderdale, FL 33312","63 Stillwater St.","(408) 475-2351","sbmrjbr@msn.com","4/1/2014 21:08","C"
"C0319","Olimpia Girona Paredes","4/7/1973","Tampa, FL 33614","209 North Newbridge Drive","(654) 850-5430","ryanvm@sbcglobal.net","6/16/2009 13:18","A"
"C0320","Rubén de Arribas","2/19/1977","Jacksonville, FL 32205","85 Ridgeview Drive","(704) 732-6961","mbswan@msn.com","12/17/2018 6:21","C"
"C0321","Édgar Manu Suárez Anglada","5/23/1975","Miami, FL 33161","60 Surrey Rd.","(400) 235-6788","dbanarse@yahoo.ca","7/28/2008 14:54","C"
"C0322","Luna Morcillo Carretero","4/15/1985","Bradenton, FL 34205","556 Pleasant St.","(363) 851-7332","frikazoyd@me.com","2/28/2018 2:55","C"
"C0323","Eladio Salcedo Cabanillas","12/31/1983","Fort Myers, FL 33912","31 Heritage Street","(892) 211-3578","mosses@gmail.com","2/18/2015 6:30","C"
"C0324","Gisela Cámara Duarte","3/14/1985","Tampa, FL 33624","8904 Vermont Drive","(231) 936-5897","parasite@optonline.net","3/16/2021 11:15","B"
"C0325","Nicanor de Moliner","11/8/1977","Opa Locka, FL 33055","886 Snake Hill St.","(609) 914-4233","samavati@me.com","3/27/2021 16:55","E"
"C0326","Rosario Paz Figueroa","9/13/1979","Winter Haven, FL 33880","212 Canal St.","(776) 448-2874","rfoley@mac.com","4/24/2013 10:41","A"
"C0327","Gloria Esteve Perez","11/4/1988","Lake Worth, FL 33460","9974 Holly Dr.","(487) 768-3548","yfreund@verizon.net","5/5/2005 23:39","D"
"C0328","Alexandra Pedrosa Asensio","12/21/1987","Lake Wales, FL 33853","7342 Woodland Avenue","(601) 357-6775","fglock@gmail.com","3/26/2019 8:59","E"
"C0329","Lucho Lucio Gallart Bartolomé","11/9/1998","Fort Lauderdale, FL 33309","20 West Gates St.","(296) 236-1828","bebing@hotmail.com","5/20/2010 14:00","E"
"C0330","Lola Vanesa Roda Verdejo","10/4/1980","Fort Lauderdale, FL 33322","22 Wall St.","(691) 320-1793","cumarana@live.com","9/10/2019 21:56","B"
"C0331","Alejandra Alvarado-Rocamora","12/6/1988","Fort Lauderdale, FL 33319","7342A Edgefield Street","(919) 955-4757","smpeters@mac.com","8/3/2016 1:08","E"
"C0332","Cristina Navas Sanz","12/13/1998","Boca Raton, FL 33428","19 Charles St.","(895) 527-9965","madler@gmail.com","6/2/2014 19:04","B"
"C0333","Desiderio Vizcaíno Seguí","10/14/1982","Hallandale, FL 33009","8123 York Ave.","(779) 490-1731","mgemmons@yahoo.ca","8/14/2018 23:14","A"
"C0334","Nélida Gallart Ochoa","5/6/1978","Pensacola, FL 32526","9315 Arcadia St.","(317) 905-9963","lstein@msn.com","7/17/2009 11:49","B"
"C0335","Áurea Sandoval Robles","4/17/1970","Hollywood, FL 33029","9447 Jackson Court","(636) 558-0180","skythe@optonline.net","9/10/2009 8:43","D"
"C0336","Bibiana Azcona","9/27/1994","Miami, FL 33179","8407 Snake Hill Street","(985) 919-4960","alias@comcast.net","5/29/2019 23:33","D"
"C0337","Marcos Arnal Sola","8/17/1977","Miami, FL 33183","60 West Prince St.","(558) 212-5147","dburrows@comcast.net","10/19/2011 6:42","C"
"C0338","Soledad Ani Garrido Duran","1/28/1970","Pompano Beach, FL 33063","192 Birchpond Ave.","(792) 524-2198","eegsa@sbcglobal.net","2/21/2016 15:49","E"
"C0339","Rodolfo Duilio Terrón Serrano","12/20/1983","Lakeland, FL 33801","880 Mayfair St.","(267) 864-5928","gfxguy@hotmail.com","12/5/2011 3:38","D"
"C0340","Carolina Ferreras Bolaños","11/20/1971","Hialeah, FL 33013","83 8th St.","(496) 239-3951","gumpish@optonline.net","10/26/2012 2:05","D"
"C0341","Eladio Querol","8/7/1990","West Palm Beach, FL 33411","7270 Shadow Brook Dr.","(252) 667-8366","rhialto@yahoo.com","8/31/2020 2:28","A"
